timestamp,elapsed_ms,device,link_index,address,distance_cm,snr_db,raw
"2026-07-30T17:49:19.661Z","32544","1","0","0100","98","17","P0,0100,98cm,17dB"
"2026-07-30T17:49:19.661Z","32544","2","1","0200","112","4","P1,0200,112cm,4dB"
"2026-07-30T17:49:19.761Z","32644","1","0","0100","97","19","P0,0100,97cm,19dB"
"2026-07-30T17:49:19.761Z","32644","2","1","0200","106","4","P1,0200,106cm,4dB"
"2026-07-30T17:49:19.861Z","32744","1","0","0100","98","17","P0,0100,98cm,17dB"
"2026-07-30T17:49:19.861Z","32744","2","1","0200","122","5","P1,0200,122cm,5dB"
"2026-07-30T17:49:19.961Z","32844","1","0","0100","97","18","P0,0100,97cm,18dB"
"2026-07-30T17:49:19.961Z","32844","2","1","0200","125","6","P1,0200,125cm,6dB"
"2026-07-30T17:49:20.061Z","32944","1","0","0100","97","18","P0,0100,97cm,18dB"
"2026-07-30T17:49:20.061Z","32944","2","1","0200","111","7","P1,0200,111cm,7dB"
"2026-07-30T17:49:20.161Z","33044","1","0","0100","97","17","P0,0100,97cm,17dB"
"2026-07-30T17:49:20.161Z","33044","2","1","0200","126","5","P1,0200,126cm,5dB"
"2026-07-30T17:49:20.259Z","33142","1","0","0100","96","16","P0,0100,96cm,16dB"
"2026-07-30T17:49:20.361Z","33244","1","0","0100","95","19","P0,0100,95cm,19dB"
"2026-07-30T17:49:20.361Z","33244","2","1","0200","130","3","P1,0200,130cm,3dB"
"2026-07-30T17:49:20.459Z","33342","1","0","0100","94","17","P0,0100,94cm,17dB"
"2026-07-30T17:49:20.561Z","33444","1","0","0100","96","19","P0,0100,96cm,19dB"
"2026-07-30T17:49:20.561Z","33444","2","1","0200","96","4","P1,0200,96cm,4dB"
"2026-07-30T17:49:20.661Z","33544","1","0","0100","98","18","P0,0100,98cm,18dB"
"2026-07-30T17:49:20.661Z","33544","2","1","0200","121","1","P1,0200,121cm,1dB"
"2026-07-30T17:49:20.759Z","33642","1","0","0100","96","17","P0,0100,96cm,17dB"
"2026-07-30T17:49:20.861Z","33744","1","0","0100","98","18","P0,0100,98cm,18dB"
"2026-07-30T17:49:20.861Z","33744","2","1","0200","125","0","P1,0200,125cm,0dB"
"2026-07-30T17:49:20.961Z","33844","1","0","0100","101","17","P0,0100,101cm,17dB"
"2026-07-30T17:49:20.961Z","33844","2","1","0200","129","1","P1,0200,129cm,1dB"
"2026-07-30T17:49:21.061Z","33944","1","0","0100","97","18","P0,0100,97cm,18dB"
"2026-07-30T17:49:21.061Z","33944","2","1","0200","109","4","P1,0200,109cm,4dB"
"2026-07-30T17:49:21.161Z","34044","1","0","0100","98","18","P0,0100,98cm,18dB"
"2026-07-30T17:49:21.161Z","34044","2","1","0200","110","4","P1,0200,110cm,4dB"
"2026-07-30T17:49:21.259Z","34142","1","0","0100","98","20","P0,0100,98cm,20dB"
"2026-07-30T17:49:21.361Z","34244","1","0","0100","99","18","P0,0100,99cm,18dB"
"2026-07-30T17:49:21.361Z","34244","2","1","0200","109","3","P1,0200,109cm,3dB"
"2026-07-30T17:49:21.461Z","34344","1","0","0100","97","20","P0,0100,97cm,20dB"
"2026-07-30T17:49:21.461Z","34344","2","1","0200","110","4","P1,0200,110cm,4dB"
"2026-07-30T17:49:21.561Z","34444","1","0","0100","98","19","P0,0100,98cm,19dB"
"2026-07-30T17:49:21.561Z","34444","2","1","0200","119","5","P1,0200,119cm,5dB"
"2026-07-30T17:49:21.661Z","34544","1","0","0100","102","18","P0,0100,102cm,18dB"
"2026-07-30T17:49:21.661Z","34544","2","1","0200","124","4","P1,0200,124cm,4dB"
"2026-07-30T17:49:21.761Z","34644","1","0","0100","99","18","P0,0100,99cm,18dB"
"2026-07-30T17:49:21.761Z","34644","2","1","0200","114","7","P1,0200,114cm,7dB"
"2026-07-30T17:49:21.861Z","34744","1","0","0100","98","18","P0,0100,98cm,18dB"
"2026-07-30T17:49:21.861Z","34744","2","1","0200","117","5","P1,0200,117cm,5dB"
"2026-07-30T17:49:21.961Z","34844","1","0","0100","99","20","P0,0100,99cm,20dB"
"2026-07-30T17:49:21.961Z","34844","2","1","0200","118","5","P1,0200,118cm,5dB"
"2026-07-30T17:49:22.061Z","34944","1","0","0100","102","19","P0,0100,102cm,19dB"
"2026-07-30T17:49:22.061Z","34944","2","1","0200","123","1","P1,0200,123cm,1dB"
"2026-07-30T17:49:22.161Z","35044","1","0","0100","99","17","P0,0100,99cm,17dB"
"2026-07-30T17:49:22.161Z","35044","2","1","0200","121","1","P1,0200,121cm,1dB"
"2026-07-30T17:49:22.261Z","35144","1","0","0100","99","21","P0,0100,99cm,21dB"
"2026-07-30T17:49:22.261Z","35144","2","1","0200","100","4","P1,0200,100cm,4dB"
"2026-07-30T17:49:22.361Z","35244","1","0","0100","97","20","P0,0100,97cm,20dB"
"2026-07-30T17:49:22.361Z","35244","2","1","0200","94","7","P1,0200,94cm,7dB"
"2026-07-30T17:49:22.461Z","35344","1","0","0100","100","18","P0,0100,100cm,18dB"
"2026-07-30T17:49:22.461Z","35344","2","1","0200","120","0","P1,0200,120cm,0dB"
"2026-07-30T17:49:22.561Z","35444","1","0","0100","101","18","P0,0100,101cm,18dB"
"2026-07-30T17:49:22.561Z","35444","2","1","0200","113","1","P1,0200,113cm,1dB"
"2026-07-30T17:49:22.661Z","35544","1","0","0100","98","19","P0,0100,98cm,19dB"
"2026-07-30T17:49:22.661Z","35544","2","1","0200","110","3","P1,0200,110cm,3dB"
"2026-07-30T17:49:22.761Z","35644","1","0","0100","97","20","P0,0100,97cm,20dB"
"2026-07-30T17:49:22.761Z","35644","2","1","0200","90","5","P1,0200,90cm,5dB"
"2026-07-30T17:49:22.861Z","35744","1","0","0100","97","17","P0,0100,97cm,17dB"
"2026-07-30T17:49:22.861Z","35744","2","1","0200","115","3","P1,0200,115cm,3dB"
"2026-07-30T17:49:22.961Z","35844","1","0","0100","96","19","P0,0100,96cm,19dB"
"2026-07-30T17:49:22.961Z","35844","2","1","0200","119","-2","P1,0200,119cm,-2dB"
"2026-07-30T17:49:23.061Z","35944","1","0","0100","100","19","P0,0100,100cm,19dB"
"2026-07-30T17:49:23.061Z","35944","2","1","0200","108","6","P1,0200,108cm,6dB"
"2026-07-30T17:49:23.161Z","36044","1","0","0100","96","17","P0,0100,96cm,17dB"
"2026-07-30T17:49:23.161Z","36044","2","1","0200","107","0","P1,0200,107cm,0dB"
"2026-07-30T17:49:23.261Z","36144","1","0","0100","97","18","P0,0100,97cm,18dB"
"2026-07-30T17:49:23.261Z","36144","2","1","0200","108","0","P1,0200,108cm,0dB"
"2026-07-30T17:49:23.361Z","36244","1","0","0100","96","18","P0,0100,96cm,18dB"
"2026-07-30T17:49:23.361Z","36244","2","1","0200","88","4","P1,0200,88cm,4dB"
"2026-07-30T17:49:23.461Z","36344","1","0","0100","97","19","P0,0100,97cm,19dB"
"2026-07-30T17:49:23.461Z","36344","2","1","0200","113","5","P1,0200,113cm,5dB"
"2026-07-30T17:49:23.561Z","36444","1","0","0100","97","17","P0,0100,97cm,17dB"
"2026-07-30T17:49:23.561Z","36444","2","1","0200","99","0","P1,0200,99cm,0dB"
"2026-07-30T17:49:23.661Z","36544","1","0","0100","97","16","P0,0100,97cm,16dB"
"2026-07-30T17:49:23.661Z","36544","2","1","0200","116","-2","P1,0200,116cm,-2dB"
"2026-07-30T17:49:23.761Z","36644","1","0","0100","96","16","P0,0100,96cm,16dB"
"2026-07-30T17:49:23.761Z","36644","2","1","0200","115","4","P1,0200,115cm,4dB"
"2026-07-30T17:49:23.861Z","36744","1","0","0100","89","17","P0,0100,89cm,17dB"
"2026-07-30T17:49:23.861Z","36744","2","1","0200","121","0","P1,0200,121cm,0dB"
"2026-07-30T17:49:23.961Z","36844","1","0","0100","89","19","P0,0100,89cm,19dB"
"2026-07-30T17:49:23.961Z","36844","2","1","0200","120","5","P1,0200,120cm,5dB"
"2026-07-30T17:49:24.061Z","36944","1","0","0100","95","19","P0,0100,95cm,19dB"
"2026-07-30T17:49:24.061Z","36944","2","1","0200","123","6","P1,0200,123cm,6dB"
"2026-07-30T17:49:24.161Z","37044","1","0","0100","97","18","P0,0100,97cm,18dB"
"2026-07-30T17:49:24.161Z","37044","2","1","0200","93","5","P1,0200,93cm,5dB"
"2026-07-30T17:49:24.260Z","37143","1","0","0100","87","19","P0,0100,87cm,19dB"
"2026-07-30T17:49:24.261Z","37144","2","1","0200","95","1","P1,0200,95cm,1dB"
"2026-07-30T17:49:24.360Z","37243","1","0","0100","97","17","P0,0100,97cm,17dB"
"2026-07-30T17:49:24.361Z","37244","2","1","0200","84","0","P1,0200,84cm,0dB"
"2026-07-30T17:49:24.461Z","37344","1","0","0100","94","17","P0,0100,94cm,17dB"
"2026-07-30T17:49:24.461Z","37344","2","1","0200","105","3","P1,0200,105cm,3dB"
"2026-07-30T17:49:24.561Z","37444","1","0","0100","96","19","P0,0100,96cm,19dB"
"2026-07-30T17:49:24.561Z","37444","2","1","0200","106","4","P1,0200,106cm,4dB"
"2026-07-30T17:49:24.661Z","37544","1","0","0100","101","19","P0,0100,101cm,19dB"
"2026-07-30T17:49:24.661Z","37544","2","1","0200","112","1","P1,0200,112cm,1dB"
"2026-07-30T17:49:24.761Z","37644","1","0","0100","86","20","P0,0100,86cm,20dB"
"2026-07-30T17:49:24.761Z","37644","2","1","0200","121","3","P1,0200,121cm,3dB"
"2026-07-30T17:49:24.861Z","37744","1","0","0100","91","18","P0,0100,91cm,18dB"
"2026-07-30T17:49:24.861Z","37744","2","1","0200","113","0","P1,0200,113cm,0dB"
"2026-07-30T17:49:24.960Z","37843","1","0","0100","98","21","P0,0100,98cm,21dB"
"2026-07-30T17:49:24.961Z","37844","2","1","0200","88","6","P1,0200,88cm,6dB"
"2026-07-30T17:49:25.059Z","37942","2","1","0200","109","4","P1,0200,109cm,4dB"
"2026-07-30T17:49:25.159Z","38042","1","0","0100","90","18","P0,0100,90cm,18dB"
"2026-07-30T17:49:25.261Z","38144","1","0","0100","91","18","P0,0100,91cm,18dB"
"2026-07-30T17:49:25.261Z","38144","2","1","0200","98","5","P1,0200,98cm,5dB"
"2026-07-30T17:49:25.360Z","38243","1","0","0100","90","16","P0,0100,90cm,16dB"
"2026-07-30T17:49:25.361Z","38244","2","1","0200","74","4","P1,0200,74cm,4dB"
"2026-07-30T17:49:25.461Z","38344","1","0","0100","86","17","P0,0100,86cm,17dB"
"2026-07-30T17:49:25.461Z","38344","2","1","0200","100","4","P1,0200,100cm,4dB"
"2026-07-30T17:49:25.560Z","38443","1","0","0100","89","16","P0,0100,89cm,16dB"
"2026-07-30T17:49:25.561Z","38444","2","1","0200","83","3","P1,0200,83cm,3dB"
"2026-07-30T17:49:25.661Z","38544","1","0","0100","96","19","P0,0100,96cm,19dB"
"2026-07-30T17:49:25.661Z","38544","2","1","0200","113","2","P1,0200,113cm,2dB"
"2026-07-30T17:49:25.761Z","38644","1","0","0100","103","16","P0,0100,103cm,16dB"
"2026-07-30T17:49:25.761Z","38644","2","1","0200","191","-2","P1,0200,191cm,-2dB"
"2026-07-30T17:49:25.861Z","38744","1","0","0100","102","18","P0,0100,102cm,18dB"
"2026-07-30T17:49:25.861Z","38744","2","1","0200","90","-2","P1,0200,90cm,-2dB"
"2026-07-30T17:49:25.961Z","38844","1","0","0100","105","17","P0,0100,105cm,17dB"
"2026-07-30T17:49:25.961Z","38844","2","1","0200","83","-1","P1,0200,83cm,-1dB"
"2026-07-30T17:49:26.061Z","38944","1","0","0100","98","18","P0,0100,98cm,18dB"
"2026-07-30T17:49:26.061Z","38944","2","1","0200","113","2","P1,0200,113cm,2dB"
"2026-07-30T17:49:26.160Z","39043","1","0","0100","72","17","P0,0100,72cm,17dB"
"2026-07-30T17:49:26.160Z","39043","2","1","0200","90","3","P1,0200,90cm,3dB"
"2026-07-30T17:49:26.261Z","39144","1","0","0100","92","17","P0,0100,92cm,17dB"
"2026-07-30T17:49:26.261Z","39144","2","1","0200","117","4","P1,0200,117cm,4dB"
"2026-07-30T17:49:26.361Z","39244","1","0","0100","90","16","P0,0100,90cm,16dB"
"2026-07-30T17:49:26.361Z","39244","2","1","0200","77","3","P1,0200,77cm,3dB"
"2026-07-30T17:49:26.459Z","39342","1","0","0100","87","17","P0,0100,87cm,17dB"
"2026-07-30T17:49:26.560Z","39443","1","0","0100","80","17","P0,0100,80cm,17dB"
"2026-07-30T17:49:26.561Z","39444","2","1","0200","94","0","P1,0200,94cm,0dB"
"2026-07-30T17:49:26.660Z","39543","1","0","0100","88","18","P0,0100,88cm,18dB"
"2026-07-30T17:49:26.661Z","39544","2","1","0200","129","4","P1,0200,129cm,4dB"
"2026-07-30T17:49:26.760Z","39643","1","0","0100","61","15","P0,0100,61cm,15dB"
"2026-07-30T17:49:26.761Z","39644","2","1","0200","90","-5","P1,0200,90cm,-5dB"
"2026-07-30T17:49:26.860Z","39743","1","0","0100","70","14","P0,0100,70cm,14dB"
"2026-07-30T17:49:26.861Z","39744","2","1","0200","76","-4","P1,0200,76cm,-4dB"
